Algorithm,Size,Distribution,Run,TimeMillis
Insertion,10000,Reversed,28,14
Insertion,10000,Reversed,29,14
Insertion,10000,Reversed,30,14
Selection,1000,Random,1,5
Selection,1000,Random,2,0
Selection,1000,Random,3,1
Selection,1000,Random,4,1
Selection,1000,Random,5,0
Selection,1000,Random,6,0
Selection,1000,Random,7,0
Selection,1000,Random,8,0
Selection,1000,Random,9,0
Selection,1000,Random,10,0
Selection,1000,Random,11,0
Selection,1000,Random,12,0
Selection,1000,Random,13,0
Selection,1000,Random,14,0
Selection,1000,Random,15,0
Selection,1000,Random,16,0
Selection,1000,Random,17,0
Selection,1000,Random,18,0
Selection,1000,Random,19,0
Selection,1000,Random,20,0
Selection,1000,Random,21,0
Selection,1000,Random,22,0
Selection,1000,Random,23,0
Selection,1000,Random,24,0
Selection,1000,Random,25,0
Selection,1000,Random,26,0
Selection,1000,Random,27,0
Selection,1000,Random,28,0
Selection,1000,Random,29,0
Selection,1000,Random,30,0
Selection,1000,Sorted,1,0
Selection,1000,Sorted,2,0
Selection,1000,Sorted,3,0
Selection,1000,Sorted,4,0
Selection,1000,Sorted,5,0
Selection,1000,Sorted,6,0
Selection,1000,Sorted,7,0
Selection,1000,Sorted,8,0
Selection,1000,Sorted,9,0
Selection,1000,Sorted,10,0
Selection,1000,Sorted,11,0
Selection,1000,Sorted,12,0
Selection,1000,Sorted,13,0
Selection,1000,Sorted,14,0
Selection,1000,Sorted,15,0
Selection,1000,Sorted,16,0
Selection,1000,Sorted,17,0
Selection,1000,Sorted,18,0
Selection,1000,Sorted,19,0
Selection,1000,Sorted,20,0
Selection,1000,Sorted,21,0
Selection,1000,Sorted,22,0
Selection,1000,Sorted,23,0
Selection,1000,Sorted,24,0
Selection,1000,Sorted,25,0
Selection,1000,Sorted,26,0
Selection,1000,Sorted,27,0
Selection,1000,Sorted,28,0
Selection,1000,Sorted,29,0
Selection,1000,Sorted,30,0
Selection,1000,Reversed,1,0
Selection,1000,Reversed,2,0
Selection,1000,Reversed,3,0
Selection,1000,Reversed,4,0
Selection,1000,Reversed,5,0
Selection,1000,Reversed,6,0
Selection,1000,Reversed,7,0
Selection,1000,Reversed,8,0
Selection,1000,Reversed,9,0
Selection,1000,Reversed,10,0
Selection,1000,Reversed,11,0
Selection,1000,Reversed,12,0
Selection,1000,Reversed,13,0
Selection,1000,Reversed,14,0
Selection,1000,Reversed,15,0
Selection,1000,Reversed,16,0
Selection,1000,Reversed,17,0
Selection,1000,Reversed,18,0
Selection,1000,Reversed,19,0
Selection,1000,Reversed,20,0
Selection,1000,Reversed,21,0
Selection,1000,Reversed,22,0
Selection,1000,Reversed,23,0
Selection,1000,Reversed,24,0
Selection,1000,Reversed,25,0
Selection,1000,Reversed,26,0
Selection,1000,Reversed,27,0
Selection,1000,Reversed,28,0
Selection,1000,Reversed,29,0
Selection,1000,Reversed,30,0
Selection,10000,Random,1,19
Selection,10000,Random,2,20
Selection,10000,Random,3,20
Selection,10000,Random,4,19
Selection,10000,Random,5,20
Selection,10000,Random,6,19
Selection,10000,Random,7,19
Selection,10000,Random,8,20
Selection,10000,Random,9,19
Selection,10000,Random,10,19
Selection,10000,Random,11,20
Selection,10000,Random,12,20
Selection,10000,Random,13,20
Selection,10000,Random,14,19
Selection,10000,Random,15,19
Selection,10000,Random,16,19
Selection,10000,Random,17,20
Selection,10000,Random,18,20
Selection,10000,Random,19,20
Selection,10000,Random,20,19
Selection,10000,Random,21,20
Selection,10000,Random,22,20
Selection,10000,Random,23,20
Selection,10000,Random,24,20
Selection,10000,Random,25,20
Selection,10000,Random,26,20
Selection,10000,Random,27,19
Selection,10000,Random,28,20
Selection,10000,Random,29,20
Selection,10000,Random,30,20
Selection,10000,Sorted,1,19
Selection,10000,Sorted,2,18
Selection,10000,Sorted,3,19
Selection,10000,Sorted,4,19
Selection,10000,Sorted,5,20
Selection,10000,Sorted,6,19
Selection,10000,Sorted,7,18
Selection,10000,Sorted,8,19
Selection,10000,Sorted,9,18
Selection,10000,Sorted,10,18
Selection,10000,Sorted,11,20
Selection,10000,Sorted,12,18
Selection,10000,Sorted,13,18
Selection,10000,Sorted,14,19
Selection,10000,Sorted,15,18
Selection,10000,Sorted,16,20
Selection,10000,Sorted,17,18
Selection,10000,Sorted,18,18
Selection,10000,Sorted,19,19
Selection,10000,Sorted,20,19
Selection,10000,Sorted,21,19
Selection,10000,Sorted,22,18
Selection,10000,Sorted,23,20
Selection,10000,Sorted,24,19
Selection,10000,Sorted,25,19
Selection,10000,Sorted,26,19
Selection,10000,Sorted,27,19
Selection,10000,Sorted,28,18
Selection,10000,Sorted,29,19
Selection,10000,Sorted,30,20
Selection,10000,Reversed,1,23
Selection,10000,Reversed,2,24
Selection,10000,Reversed,3,25
Selection,10000,Reversed,4,25
Selection,10000,Reversed,5,24
Selection,10000,Reversed,6,24
Selection,10000,Reversed,7,24
Selection,10000,Reversed,8,23
Selection,10000,Reversed,9,29
Selection,10000,Reversed,10,24
Selection,10000,Reversed,11,24
Selection,10000,Reversed,12,24
Selection,10000,Reversed,13,24
Selection,10000,Reversed,14,26
Selection,10000,Reversed,15,24
Selection,10000,Reversed,16,24
Selection,10000,Reversed,17,24
Selection,10000,Reversed,18,25
Selection,10000,Reversed,19,23
Selection,10000,Reversed,20,25
Selection,10000,Reversed,21,24
Selection,10000,Reversed,22,24
Selection,10000,Reversed,23,25
Selection,10000,Reversed,24,30
Selection,10000,Reversed,25,30
Selection,10000,Reversed,26,23
Selection,10000,Reversed,27,24
Selection,10000,Reversed,28,24
Selection,10000,Reversed,29,23
Selection,10000,Reversed,30,23
Quick,1000,Random,1,0
Quick,1000,Random,2,0
Quick,1000,Random,3,0
Quick,1000,Random,4,0
Quick,1000,Random,5,0
Quick,1000,Random,6,0
Quick,1000,Random,7,0
Quick,1000,Random,8,0
Quick,1000,Random,9,0
Quick,1000,Random,10,0
Quick,1000,Random,11,0
Quick,1000,Random,12,0
Quick,1000,Random,13,0
Quick,1000,Random,14,0
Quick,1000,Random,15,0
Quick,1000,Random,16,0
Quick,1000,Random,17,0
Quick,1000,Random,18,0
Quick,1000,Random,19,0
Quick,1000,Random,20,0
Quick,1000,Random,21,0
Quick,1000,Random,22,0
Quick,1000,Random,23,0
Quick,1000,Random,24,0
Quick,1000,Random,25,0
Quick,1000,Random,26,0
Quick,1000,Random,27,0
Quick,1000,Random,28,0
Quick,1000,Random,29,0
Quick,1000,Random,30,0
Quick,1000,Sorted,1,0
Quick,1000,Sorted,2,1
Quick,1000,Sorted,3,1
Quick,1000,Sorted,4,0
Quick,1000,Sorted,5,0
Quick,1000,Sorted,6,0
Quick,1000,Sorted,7,1
Quick,1000,Sorted,8,1
Quick,1000,Sorted,9,1
Quick,1000,Sorted,10,1
Quick,1000,Sorted,11,0
Quick,1000,Sorted,12,0
Quick,1000,Sorted,13,1
Quick,1000,Sorted,14,0
Quick,1000,Sorted,15,1
Quick,1000,Sorted,16,1
Quick,1000,Sorted,17,0
Quick,1000,Sorted,18,0
Quick,1000,Sorted,19,0
Quick,1000,Sorted,20,0
Quick,1000,Sorted,21,1
Quick,1000,Sorted,22,0
Quick,1000,Sorted,23,1
Quick,1000,Sorted,24,0
Quick,1000,Sorted,25,0
Quick,1000,Sorted,26,1
Quick,1000,Sorted,27,1
Quick,1000,Sorted,28,1
Quick,1000,Sorted,29,0
Quick,1000,Sorted,30,1
Quick,1000,Reversed,1,0
Quick,1000,Reversed,2,0
Quick,1000,Reversed,3,1
Quick,1000,Reversed,4,0
Quick,1000,Reversed,5,0
Quick,1000,Reversed,6,1
Quick,1000,Reversed,7,1
Quick,1000,Reversed,8,0
Quick,1000,Reversed,9,0
Quick,1000,Reversed,10,0
Quick,1000,Reversed,11,0
Quick,1000,Reversed,12,0
Quick,1000,Reversed,13,1
Quick,1000,Reversed,14,1
Quick,1000,Reversed,15,1
Quick,1000,Reversed,16,0
Quick,1000,Reversed,17,0
Quick,1000,Reversed,18,0
Quick,1000,Reversed,19,1
Quick,1000,Reversed,20,0
Quick,1000,Reversed,21,0
Quick,1000,Reversed,22,0
Quick,1000,Reversed,23,1
Quick,1000,Reversed,24,1
Quick,1000,Reversed,25,0
Quick,1000,Reversed,26,1
Quick,1000,Reversed,27,0
Quick,1000,Reversed,28,0
Quick,1000,Reversed,29,0
Quick,1000,Reversed,30,1
Quick,10000,Random,1,1
Quick,10000,Random,2,0
Quick,10000,Random,3,0
Quick,10000,Random,4,0
Quick,10000,Random,5,1
Quick,10000,Random,6,0
Quick,10000,Random,7,0
Quick,10000,Random,8,1
Quick,10000,Random,9,0
Quick,10000,Random,10,0
Quick,10000,Random,11,0
Quick,10000,Random,12,1
Quick,10000,Random,13,0
Quick,10000,Random,14,0
Quick,10000,Random,15,0
Quick,10000,Random,16,0
Quick,10000,Random,17,1
Quick,10000,Random,18,1
Quick,10000,Random,19,0
Quick,10000,Random,20,0
Quick,10000,Random,21,0
Quick,10000,Random,22,0
Quick,10000,Random,23,1
Quick,10000,Random,24,1
Quick,10000,Random,25,0
Quick,10000,Random,26,0
Quick,10000,Random,27,0
Quick,10000,Random,28,0
Quick,10000,Random,29,1
Quick,10000,Random,30,1
Quick,10000,Sorted,1,54
Quick,10000,Sorted,2,54
Quick,10000,Sorted,3,58
Quick,10000,Sorted,4,54
Quick,10000,Sorted,5,55
Quick,10000,Sorted,6,54
Quick,10000,Sorted,7,57
Quick,10000,Sorted,8,53
Quick,10000,Sorted,9,53
Quick,10000,Sorted,10,53
Quick,10000,Sorted,11,54
Quick,10000,Sorted,12,53
Quick,10000,Sorted,13,54
Quick,10000,Sorted,14,53
Quick,10000,Sorted,15,53
Quick,10000,Sorted,16,53
Quick,10000,Sorted,17,53
Quick,10000,Sorted,18,52
Quick,10000,Sorted,19,59
Quick,10000,Sorted,20,60
Quick,10000,Sorted,21,64
Quick,10000,Sorted,22,56
Quick,10000,Sorted,23,53
Quick,10000,Sorted,24,54
Quick,10000,Sorted,25,67
Quick,10000,Sorted,26,54
Quick,10000,Sorted,27,53
Quick,10000,Sorted,28,55
Quick,10000,Sorted,29,61
Quick,10000,Sorted,30,54
Quick,10000,Reversed,1,43
Quick,10000,Reversed,2,44
Quick,10000,Reversed,3,44
Quick,10000,Reversed,4,44
Quick,10000,Reversed,5,44
Quick,10000,Reversed,6,45
Quick,10000,Reversed,7,45
Quick,10000,Reversed,8,49
Quick,10000,Reversed,9,44
Quick,10000,Reversed,10,45
Quick,10000,Reversed,11,45
Quick,10000,Reversed,12,44
Quick,10000,Reversed,13,44
Quick,10000,Reversed,14,44
Quick,10000,Reversed,15,44
Quick,10000,Reversed,16,44
Quick,10000,Reversed,17,44
Quick,10000,Reversed,18,44
Quick,10000,Reversed,19,44
Quick,10000,Reversed,20,45
Quick,10000,Reversed,21,44
Quick,10000,Reversed,22,45
Quick,10000,Reversed,23,45
Quick,10000,Reversed,24,45
Quick,10000,Reversed,25,44
Quick,10000,Reversed,26,44
Quick,10000,Reversed,27,44
Quick,10000,Reversed,28,45
Quick,10000,Reversed,29,46
Quick,10000,Reversed,30,46
Merge,1000,Random,1,1
